iter	Passed	Remaining
1128	17818	5855
1129	17832	5838
1130	17850	5823
1131	17869	5809
1132	17886	5793
1133	17903	5778
1134	17921	5763
1135	17936	5747
1136	17952	5731
1137	17970	5716
1138	17987	5701
1139	18006	5686
1140	18024	5671
1141	18038	5654
1142	18053	5638
1143	18068	5622
1144	18082	5606
1145	18097	5590
1146	18112	5574
1147	18125	5557
1148	18140	5541
1149	18155	5525
1150	18168	5508
1151	18182	5492
1152	18196	5476
1153	18212	5460
1154	18225	5444
1155	18238	5427
1156	18253	5411
1157	18269	5395
1158	18282	5379
1159	18296	5362
1160	18309	5346
1161	18323	5330
1162	18338	5313
1163	18352	5297
1164	18368	5281
1165	18385	5266
1166	18403	5251
1167	18422	5236
1168	18438	5220
1169	18453	5204
1170	18472	5190
1171	18491	5175
1172	18507	5159
1173	18523	5143
1174	18537	5127
1175	18552	5111
1176	18565	5094
1177	18579	5078
1178	18591	5061
1179	18605	5045
1180	18618	5028
1181	18630	5012
1182	18646	4996
1183	18659	4980
1184	18673	4963
1185	18688	4947
1186	18732	4939
1187	18750	4924
1188	18768	4909
1189	18784	4893
1190	18800	4877
1191	18817	4862
1192	18830	4845
1193	18845	4829
1194	18865	4815
1195	18878	4798
1196	18891	4782
1197	18908	4766
1198	18926	4751
1199	18948	4737
1200	18968	4722
1201	18985	4706
1202	19002	4691
1203	19018	4675
1204	19034	4659
1205	19050	4644
1206	19079	4631
1207	19095	4615
1208	19115	4600
1209	19132	4585
1210	19148	4569
1211	19163	4553
1212	19176	4537
1213	19189	4520
1214	19203	4504
1215	19219	4488
1216	19237	4473
1217	19250	4456
1218	19262	4440
1219	19275	4423
1220	19289	4407
1221	19302	4391
1222	19314	4374
1223	19329	4358
1224	19343	4342
1225	19359	4326
1226	19372	4310
1227	19385	4293
1228	19400	4277
1229	19414	4261
1230	19427	4245
1231	19440	4228
1232	19453	4212
1233	19467	4196
1234	19481	4180
1235	19494	4163
1236	19508	4147
1237	19523	4131
1238	19537	4115
1239	19562	4101
1240	19575	4085
1241	19590	4069
1242	19605	4053
1243	19621	4037
1244	19639	4022
1245	19656	4007
1246	19687	3994
1247	19703	3978
1248	19724	3963
1249	19748	3949
1250	19767	3934
1251	19783	3918
1252	19801	3903
1253	19814	3887
1254	19828	3870
1255	19842	3854
1256	19857	3838
1257	19870	3822
1258	19884	3806
1259	19897	3789
1260	19911	3773
1261	19924	3757
1262	19937	3741
1263	19956	3725
1264	19972	3710
1265	19987	3694
1266	20001	3678
1267	20016	3662
1268	20033	3646
1269	20047	3630
1270	20062	3614
1271	20077	3598
1272	20090	3582
1273	20104	3566
1274	20117	3550
1275	20131	3534
1276	20146	3518
1277	20160	3501
1278	20177	3486
